"Species","Bark thickness","Conduit diam.","Crown diameter","Crown height","Leaf K","Leaf N","Leaf P","Leaf Vcmax","Leaf area","Leaf density","Leaf thickness","Root depth","Seed dry mass","Specific leaf area","Stem diameter","Stomatal conduct.","Tree height","Wood density"
"Sapium glandulosum",5.15524037079119,26.1142281448294,11.749893614,15.7,8.53825409968248,19.8621645967866,2.0930653640375,0.122121801666222,3219.50651729986,0.290294229100499,0.254048313328342,1.7,27.6061892221083,18.7006333727161,0.777,150.323223776478,35,0.396679211610913
"Sapium haematospermum",5.15524037079119,26.1142281448294,11.749893614,15.7,10.9145837550009,21.4468548806778,1.87722673772073,0.122121801666222,3202.847347058,0.327764400453038,0.244478239460092,1.7,31.9917970395678,21.5940749200797,0.541,150.323223776478,50,0.377004138342124
"Sapium haitiense",5.15524037079119,26.1142281448294,11.749893614,15.7,10.9145837550009,21.5527867697543,1.89349771081557,0.122121801666222,3202.847347058,0.327764400453038,0.242930985839976,1.7,33.3603019494772,21.5940749200797,0.541,150.323223776478,50,0.413154131469774
"Sapium jenmannii",5.15524037079119,26.1142281448294,11.749893614,15.7,10.9145837550009,21.5310472943244,1.88218143985472,0.122121801666222,3202.847347058,0.327764400453038,0.248203348774594,1.7,32.7061298228266,21.5940749200797,0.541,150.323223776478,50,0.424019184315963
"Sapium lateriflorum",5.15524037079119,26.1142281448294,11.749893614,15.7,10.9145837550009,21.6359781798539,1.87811442406887,0.122121801666222,3202.847347058,0.327764400453038,0.224159298961541,1.7,33.2611398807601,21.5940749200797,0.541,150.323223776478,50,0.395598288846722
"Sapium laurifolium",5.15524037079119,26.1142281448294,11.749893614,15.7,10.9206831591001,20.2006607565406,1.86221494968802,0.122121801666222,3219.50651729986,0.26083855990005,0.254860026700456,1.7,29.5890717648522,20.4458623215013,0.777,150.323223776478,50,0.414439399966043
"Sapium laurocerasus",5.15524037079119,26.1142281448294,11.749893614,15.7,10.9206831591001,20.2006607565406,1.86221494968802,0.122121801666222,3219.50651729986,0.267373130964448,0.25495601192646,1.7,29.5890717648522,20.3149031525257,0.777,150.323223776478,50,0.410158376903138
"Sapium leucogynum",5.15524037079119,26.1142281448294,11.749893614,15.7,10.9145837550009,21.9336249786125,1.882056381037,0.122121801666222,3202.847347058,0.327764400453038,0.250552960015402,1.7,34.1609015021177,21.5940749200797,0.541,150.323223776478,50,0.405570447707262
"Sapium macrocarpum",5.15524037079119,26.1142281448294,11.749893614,15.7,10.9145837550009,21.3346522875953,1.87225152575568,0.122121801666222,3202.847347058,0.327764400453038,0.247163108540113,1.7,33.2122756659729,21.5940749200797,0.541,150.323223776478,50,0.414694782503796
"Sapium marmieri",5.15524037079119,26.1142281448294,11.749893614,15.7,10.9145837550009,20.30157481193,1.84568969167637,0.122121801666222,3202.847347058,0.327764400453038,0.260606948186325,1.7,32.9941056621,21.5940749200797,0.541,150.323223776478,50,0.419985683130971
